@relation 'kyoto-train-50-50'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute Label {A,N}

@data
0.000015,0.019111,0.034483,0.25,1,0,0,0.14,1,0,0,0,N
0.000691,0.021333,0.016552,0,0,0,0,0.06,0.06,1,1,1,N
0.008679,0,0,0,0,0,0.75,0,0,0,0,0,N
0.000014,0.032444,0.039655,0.035714,1,0,0,0.21,0.98,0,0,0,N
0.000013,0.025778,0.034483,0.154762,1,0,0,0.77,0.92,0,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0,0.98,0.98,0,0,0,N
0.000051,0.031111,0.038621,0.011905,1,0,0,0,0.06,0,0,0,N
0.000016,0.023111,0.028621,0.011905,1,0,0,0,0.14,0,0,0,N
0.000026,0.029333,0.033448,0,0,0,0,0,0.05,0,0,0,N
0.000017,0.018667,0.035862,0,0,0,0,0.63,0.63,0,0,0,N
0.000014,0.02,0.033793,0.02381,1,0,0,0.98,0.99,0,0,0,N
0.000019,0.030222,0.034138,0,0,0,0,0,0.16,0,0,0,N
0.000016,0.028444,0.036552,0.107143,1,0,0,1,1,0,0,0,N
0.000012,0.025333,0.034138,0.357143,1,0,0,0.11,1,0,0,0,N
0.024076,0.224444,0.53931,0.047619,1,0,0,0.98,0.96,0,0,0,N
0.071776,0.224444,0.53931,0.011905,1,0,0,0.62,0.62,0,0,0,N
0,0,0,0,0,0,0.83,0,0,0,0,0,N
0,0,0,0,0,0,0.14,0.02,0.02,1,1,1,N
0.000022,0.02,0.033793,0.02381,1,0,0,0.97,0.97,0,0,0,N
0.000012,0.02,0.035172,0.083333,1,0,0,0.99,0.99,0,0,0,N
0.021473,0.224444,0.53931,0.047619,1,0,0,0.98,0.96,0,0,0,N
0.000013,0.019556,0.036207,0.035714,1,0,0,0.95,0.95,0,0,0,N
0.027758,0.231111,0.53931,0.035714,1,0,0,0.64,0.6,0,0,0,N
0.000013,0.02,0.068621,0.02381,1,0,0,0.05,0.29,0,0,0,N
0.074039,0.224444,0.53931,0.011905,0,0,0,0.68,0.67,0,0,0,N
0.000014,0.016,0.03,0.059524,1,0,0,0.52,1,0,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0,0.97,0.97,0,0,0,N
0,0,0,0,0,0,0.67,0,0,0,0,0,N
0.000018,0.016,0.03,0.083333,1,0,0,0.54,1,0,0,0,N
0.000015,0.02,0.035172,0.083333,1,0,0,0.96,0.96,0,0,0,N
0.000013,0.019556,0.036207,0.047619,1,0,0,0.83,0.87,0,0,0,N
0.000022,0.02,0.035172,0.095238,1,0,0,1,1,0,0,0,N
0.000015,0.019556,0.026207,0.059524,1,0,0,0.56,0.98,0,0,0,N
0.032062,0.224444,0.53931,0.02381,1,0,0,0.99,0.97,0,0,0,N
0.07388,0.224444,0.53931,0.02381,0.5,0.5,0,0.99,0.99,0,0,0,N
0.119992,0,0,0.035714,0,0,0.67,0,0,0,0,0,N
0.000015,0.018667,0.035862,0.011905,1,0,0,0.39,0.39,0,0,0,N
0.00003,0.02,0.047241,0.02381,1,0,0,0.02,0.12,0,0,0,N
0.000012,0.025333,0.034138,0.333333,1,0,0,0.06,1,0,0,0,N
0,0.028444,0.036552,0.059524,1,0,0,1,1,0,0,0,N
0.000013,0.02,0.027586,0.130952,1,0,0,0.84,0.95,0,0,0,N
0.032715,0.283111,0.562759,0.035714,1,0,0,0.19,0.18,0,0,0,N
0,0,0,0,0,0,0.67,0,0,0,0,0,N
0.032467,0.224444,0.53931,0.02381,1,0,0,0.99,0.99,0,0,0,N
0.008524,0.020444,0.015862,0.011905,1,0,0,0.01,0.01,0,0,0,N
0.037337,0.224444,0.53931,0.02381,0.5,0,0,0.99,0.96,0,0,0,N
0.000016,0.021778,0.022414,0.321429,1,0,0,0.27,1,0,0,0,N
0.000013,0.016,0.03,0.059524,1,0,0,0.58,0.88,0,0,0,N
0.000014,0.020444,0.03,0.071429,1,0,0,0.96,0.96,0,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0,1,1,0,0,0,N
0.074009,0.224444,0.53931,0.011905,1,0,0,1,1,0,0,0,N
0.000014,0.02,0.035172,0.095238,1,0,0,0.96,0.98,0,0,0,N
0.000022,0.021333,0.076552,0.083333,1,0,0,0.03,0.25,0,0,0,N
0.000013,0.025333,0.034138,0.02381,1,0,0,0.36,0.44,0,0,0,N
