@relation 'gendata-v2'

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute class {c0,c1}

@data
4.747915,0.152565,69.1655,8.51691,c0
0.247055,2.91136,85.1243,2.28674,c1
4.1968,3.444975,79.7657,1.23724,c0
1.136335,0.714325,5.0627,1.30926,c0
0.28963,2.30155,46.7953,2.53114,c1
3.94671,3.85963,34.5293,7.24587,c0
4.422035,2.11289,16.8779,1.56284,c0
0.8717,2.817055,9.7318,1.61248,c0
3.169965,2.63986,2.8638,5.56699,c0
2.98709,2.441785,90.5295,0.40966,c0
2.302885,1.97284,80.0197,3.29428,c0
3.306525,3.66263,70.5052,5.3149,c0
0.00483,4.74822,36.0114,6.29696,c1
0.889925,2.457905,90.9954,2.82462,c0
3.70149,1.34906,64.747,8.1347,c0
2.659745,0.18413,61.7187,1.73676,c0
0.542405,2.92144,38.8884,8.6592,c1
2.632085,4.4959,88.3931,3.07533,c0
1.870265,2.069855,73.9211,8.72908,c0
4.51971,1.34511,32.7318,9.05852,c0
3.25936,0.344895,21.6746,3.20664,c0
4.913945,4.797905,55.2093,0.21199,c0
2.955225,4.88652,56.1814,2.58807,c0
0.50256,2.657585,15.9876,2.22885,c1
2.79751,2.83616,39.768,6.11857,c0
4.03063,2.13176,34.3935,6.67791,c0
1.958055,3.38099,82.2667,1.74411,c0
4.961365,1.03204,32.3379,2.16174,c0
0.07629,3.54361,31.239,0.75121,c1
2.044055,1.244545,12.0666,5.02616,c0
2.623925,0.08045,56.1025,7.44649,c0
1.246025,2.45948,43.6347,1.22264,c0
2.58097,1.10212,14.05,6.72737,c0
3.755735,0.39813,62.4943,3.42524,c0
3.75515,2.279065,10.6535,4.8956,c0
0.013985,0.025475,2.5861,0.00366,c1
2.3267,3.745745,93.0413,1.56518,c0
1.980345,0.486755,15.3264,4.95383,c0
4.4506,0.06667,38.5417,3.01615,c0
2.09171,4.756265,49.8787,0.38784,c0
3.998295,1.877485,26.6816,9.84589,c0
3.620145,3.236635,95.1022,5.68455,c0
0.770875,4.064525,7.431,4.26948,c0
3.38695,1.7969,8.5658,9.9025,c0
0.76582,1.596,3.5854,4.92067,c0
4.040075,0.987635,83.0209,6.55686,c0
1.32928,0.36811,10.1756,9.50498,c0
4.35178,4.42141,25.7203,2.36162,c0
0.275955,1.679455,78.7949,8.1566,c1
2.24373,0.55692,50.9777,4.03899,c0
4.308595,0.196905,99.7363,2.85051,c0
1.49642,3.37497,11.3541,9.79727,c0
3.319145,1.526315,19.8282,0.72155,c0
4.350055,3.68468,17.866,4.5789,c0
3.403595,1.75126,58.8607,1.64187,c0
3.453855,4.04815,24.6027,0.6802,c0
2.67252,2.553205,12.4926,2.9083,c0
2.87085,1.561865,78.1448,7.84437,c0
0.18938,1.77625,54.5295,6.39142,c1
4.095205,3.98316,57.1754,9.42935,c0
4.618595,0.549825,76.4641,5.99759,c0
4.289045,0.93996,52.6717,3.75206,c0
0.41545,4.33259,27.1689,5.79571,c1
0.19591,3.21215,64.0714,2.21055,c1
0.63978,1.49083,40.6323,1.66027,c0
2.43776,4.322785,11.8016,8.28575,c0
1.725605,4.274575,64.6282,1.78211,c0
1.152665,4.927505,91.5616,4.0242,c0
1.78862,3.304815,28.2107,3.89857,c0
0.180135,1.74033,20.7514,3.10352,c1
0.303615,2.935025,10.9229,9.59462,c1
3.25116,3.984215,52.435,2.08202,c0
3.23388,1.10028,1.6126,8.52636,c0
1.88997,1.60461,57.2298,3.93409,c0
3.94462,3.517305,59.7435,7.91868,c0
0.984585,0.734255,98.5126,0.47293,c0
1.48235,3.348655,17.0935,5.18848,c0
4.233115,3.147595,51.333,2.76218,c0
4.052395,3.694355,82.7306,4.04504,c0
2.922925,2.69299,40.4248,1.11793,c0
1.776465,1.524325,39.1576,6.91918,c0
2.749645,2.941095,97.7057,8.8029,c0
4.06234,2.914735,42.5145,9.07269,c0
4.633045,1.53761,64.6561,6.01403,c0
3.16772,0.701735,64.7314,2.23959,c0
1.73686,2.998745,89.9683,3.26531,c0
1.790255,1.91572,40.5211,8.15089,c0
1.149535,2.93763,97.8549,5.76729,c0
3.765805,3.609475,7.1022,4.79424,c0
4.93298,2.959995,27.4095,2.90488,c0
3.206915,1.943445,49.5437,0.76021,c0
1.496335,1.717375,68.4082,9.41491,c0
3.663605,0.641435,89.6219,5.52666,c0
4.501725,3.85612,43.9438,7.36518,c0
0.13843,1.18003,81.0794,6.0327,c1
2.759185,4.850525,15.283,0.53636,c0
3.037915,3.32496,99.1774,2.39405,c0
0.817585,0.95829,9.3361,5.30852,c0
