@relation 'DDoS'

@attribute ' Protocol' {0,6,17}
@attribute ' Flow Duration' numeric
@attribute ' Total Fwd Packets' numeric
@attribute ' Total Backward Packets' numeric
@attribute 'Total Length of Fwd Packets' numeric
@attribute ' Total Length of Bwd Packets' numeric
@attribute ' Fwd Packet Length Max' numeric
@attribute ' Fwd Packet Length Min' numeric
@attribute ' Fwd Packet Length Mean' numeric
@attribute ' Fwd Packet Length Std' numeric
@attribute 'Bwd Packet Length Max' numeric
@attribute ' Bwd Packet Length Min' numeric
@attribute ' Bwd Packet Length Mean' numeric
@attribute ' Bwd Packet Length Std' numeric
@attribute 'Flow Bytes/s' numeric
@attribute ' Flow Packets/s' numeric
@attribute ' Flow IAT Mean' numeric
@attribute ' Flow IAT Std' numeric
@attribute ' Flow IAT Max' numeric
@attribute ' Flow IAT Min' numeric
@attribute 'Fwd IAT Total' numeric
@attribute ' Fwd IAT Mean' numeric
@attribute ' Fwd IAT Std' numeric
@attribute ' Fwd IAT Max' numeric
@attribute ' Fwd IAT Min' numeric
@attribute 'Bwd IAT Total' numeric
@attribute ' Bwd IAT Mean' numeric
@attribute ' Bwd IAT Std' numeric
@attribute ' Bwd IAT Max' numeric
@attribute ' Bwd IAT Min' numeric
@attribute 'Fwd PSH Flags' numeric
@attribute ' Bwd PSH Flags' numeric
@attribute ' Fwd URG Flags' numeric
@attribute ' Bwd URG Flags' numeric
@attribute ' Fwd Header Length' numeric
@attribute ' Bwd Header Length' numeric
@attribute 'Fwd Packets/s' numeric
@attribute ' Bwd Packets/s' numeric
@attribute ' Min Packet Length' numeric
@attribute ' Max Packet Length' numeric
@attribute ' Packet Length Mean' numeric
@attribute ' Packet Length Std' numeric
@attribute ' Packet Length Variance' numeric
@attribute 'FIN Flag Count' numeric
@attribute ' SYN Flag Count' numeric
@attribute ' RST Flag Count' numeric
@attribute ' PSH Flag Count' numeric
@attribute ' ACK Flag Count' numeric
@attribute ' URG Flag Count' numeric
@attribute ' CWE Flag Count' numeric
@attribute ' ECE Flag Count' numeric
@attribute ' Down/Up Ratio' numeric
@attribute ' Average Packet Size' numeric
@attribute ' Avg Fwd Segment Size' numeric
@attribute ' Avg Bwd Segment Size' numeric
@attribute 'Fwd Avg Bytes/Bulk' numeric
@attribute ' Fwd Avg Packets/Bulk' numeric
@attribute ' Fwd Avg Bulk Rate' numeric
@attribute ' Bwd Avg Bytes/Bulk' numeric
@attribute ' Bwd Avg Packets/Bulk' numeric
@attribute 'Bwd Avg Bulk Rate' numeric
@attribute 'Subflow Fwd Packets' numeric
@attribute ' Subflow Fwd Bytes' numeric
@attribute ' Subflow Bwd Packets' numeric
@attribute ' Subflow Bwd Bytes' numeric
@attribute Init_Win_bytes_forward numeric
@attribute ' Init_Win_bytes_backward' numeric
@attribute ' act_data_pkt_fwd' numeric
@attribute ' min_seg_size_forward' numeric
@attribute 'Active Mean' numeric
@attribute ' Active Std' numeric
@attribute ' Active Max' numeric
@attribute ' Active Min' numeric
@attribute 'Idle Mean' numeric
@attribute ' Idle Std' numeric
@attribute ' Idle Max' numeric
@attribute ' Idle Min' numeric
@attribute ' Label' {BENIGN,DDoS}

@data
6,3159398,5,1,135,46,46,6,27,20.124612,46,46,46,0,57.289395,1.899096,631879.6,1263095.497,2886220,3,3159398,789849.5,1402991.146,2886220,3,0,0,0,0,0,1,0,0,0,100,20,1.58258,0.316516,6,46,32.428571,18.8667,355.952381,0,1,0,0,1,0,0,0,0,37.833333,27,46,0,0,0,0,0,0,5,135,1,46,258,361,4,20,0,0,0,0,0,0,0,0,BENIGN
17,110893678,2,2,88,252,48,40,44,5.656854,156,96,126,42.426407,3.066,0.036071,37000000,63700000,111000000,106068,111000000,111000000,0,111000000,111000000,111000000,111000000,0,111000000,111000000,0,0,0,0,40,40,0.018035,0.018035,40,156,77.6,49.120261,2412.8,0,0,0,0,0,0,0,0,1,97,44,126,0,0,0,0,0,0,2,88,2,252,-1,-1,1,20,223408,0,223408,223408,111000000,0,111000000,111000000,BENIGN
6,82191648,6,10,11613,68,7215,0,1935.5,3122.940009,20,0,6.8,5.006662,142.119063,0.194667,5479443.2,18400000,71600000,1,82200000,16400000,36100000,80900000,4,80900000,8991984,23700000,71600000,1,0,0,0,0,132,212,0.073,0.121667,0,7215,687.470588,1987.570568,3950436.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,26758,0,26758,26758,40500000,44000000,71600000,9357808,BENIGN
6,50,1,3,6,18,6,6,6,0,6,6,6,0,480000,80000,16.666667,24.583192,45,1,0,0,0,0,0,5,2.5,2.12132,4,1,0,0,0,0,20,60,20000,60000,6,6,6,0,0,0,0,0,0,1,1,0,0,3,7.5,6,6,0,0,0,0,0,0,1,6,3,18,254,2051,0,20,0,0,0,0,0,0,0,0,BENIGN
6,7577466,1,5,6,30,6,6,6,0,6,6,6,0,4.750929,0.791821,1515493.2,3380263.431,7562288,1,0,0,0,0,0,7571830,1892957.5,3779556.301,7562288,1,0,0,0,0,20,100,0.13197,0.659851,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,0,0,0,0,0,0,1,6,5,30,229,0,0,20,15178,0,15178,15178,7562288,0,7562288,7562288,BENIGN
6,30,1,1,0,0,0,0,0,0,0,0,0,0,0,66666.66667,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,33333.33333,33333.33333,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,114,229,0,32,0,0,0,0,0,0,0,0,BENIGN
17,182,2,2,88,188,44,44,44,0,94,94,94,0,1516483.516,21978.02198,60.666667,98.149546,174,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,10989.01099,10989.01099,44,94,64,27.386128,750,0,0,0,0,0,0,0,0,1,80,44,94,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
6,12030277,1,5,6,30,6,6,6,0,6,6,6,0,2.99245,0.498742,2406055.4,5359649.057,12000000,3,0,0,0,0,0,12000000,3000434.75,5995487.632,12000000,3,0,0,0,0,20,100,0.083124,0.415618,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,0,0,0,0,0,0,1,6,5,30,229,0,0,20,36612,0,36612,36612,12000000,0,12000000,12000000,BENIGN
6,1874940,11,8,1249,5612,929,0,113.545455,278.34057,1448,0,701.5,635.732199,3659.317098,10.133658,104163.3333,270324.5601,1108297,7,1874940,187494,347424.4094,1108297,265,715534,102219.1429,178540.7715,488773,48,0,0,0,0,360,264,5.866854,4.266803,0,1448,343.05,529.587374,280462.7868,0,0,0,1,0,0,0,0,0,361.105263,113.545455,701.5,0,0,0,0,0,0,11,1249,8,5612,29200,117,3,32,0,0,0,0,0,0,0,0,BENIGN
6,64547155,7,2,187,92,46,6,26.714286,20.089087,46,46,46,0,4.322421,0.139433,8068394.375,20400000,58300000,44,64500000,10800000,23400000,58300000,44,58400000,58400000,0,58400000,58400000,1,0,0,0,140,40,0.108448,0.030985,6,46,32.5,18.863545,355.833333,0,1,0,0,1,0,0,0,0,36.111111,26.714286,46,0,0,0,0,0,0,7,187,2,92,255,415,6,20,93386,36.769553,93412,93360,32200000,36900000,58300000,6063364,BENIGN
