@relation 'DDoS'

@attribute ' Protocol' {0,6,17}
@attribute ' Flow Duration' numeric
@attribute ' Total Fwd Packets' numeric
@attribute ' Total Backward Packets' numeric
@attribute 'Total Length of Fwd Packets' numeric
@attribute ' Total Length of Bwd Packets' numeric
@attribute ' Fwd Packet Length Max' numeric
@attribute ' Fwd Packet Length Min' numeric
@attribute ' Fwd Packet Length Mean' numeric
@attribute ' Fwd Packet Length Std' numeric
@attribute 'Bwd Packet Length Max' numeric
@attribute ' Bwd Packet Length Min' numeric
@attribute ' Bwd Packet Length Mean' numeric
@attribute ' Bwd Packet Length Std' numeric
@attribute 'Flow Bytes/s' numeric
@attribute ' Flow Packets/s' numeric
@attribute ' Flow IAT Mean' numeric
@attribute ' Flow IAT Std' numeric
@attribute ' Flow IAT Max' numeric
@attribute ' Flow IAT Min' numeric
@attribute 'Fwd IAT Total' numeric
@attribute ' Fwd IAT Mean' numeric
@attribute ' Fwd IAT Std' numeric
@attribute ' Fwd IAT Max' numeric
@attribute ' Fwd IAT Min' numeric
@attribute 'Bwd IAT Total' numeric
@attribute ' Bwd IAT Mean' numeric
@attribute ' Bwd IAT Std' numeric
@attribute ' Bwd IAT Max' numeric
@attribute ' Bwd IAT Min' numeric
@attribute 'Fwd PSH Flags' numeric
@attribute ' Bwd PSH Flags' numeric
@attribute ' Fwd URG Flags' numeric
@attribute ' Bwd URG Flags' numeric
@attribute ' Fwd Header Length' numeric
@attribute ' Bwd Header Length' numeric
@attribute 'Fwd Packets/s' numeric
@attribute ' Bwd Packets/s' numeric
@attribute ' Min Packet Length' numeric
@attribute ' Max Packet Length' numeric
@attribute ' Packet Length Mean' numeric
@attribute ' Packet Length Std' numeric
@attribute ' Packet Length Variance' numeric
@attribute 'FIN Flag Count' numeric
@attribute ' SYN Flag Count' numeric
@attribute ' RST Flag Count' numeric
@attribute ' PSH Flag Count' numeric
@attribute ' ACK Flag Count' numeric
@attribute ' URG Flag Count' numeric
@attribute ' CWE Flag Count' numeric
@attribute ' ECE Flag Count' numeric
@attribute ' Down/Up Ratio' numeric
@attribute ' Average Packet Size' numeric
@attribute ' Avg Fwd Segment Size' numeric
@attribute ' Avg Bwd Segment Size' numeric
@attribute 'Fwd Avg Bytes/Bulk' numeric
@attribute ' Fwd Avg Packets/Bulk' numeric
@attribute ' Fwd Avg Bulk Rate' numeric
@attribute ' Bwd Avg Bytes/Bulk' numeric
@attribute ' Bwd Avg Packets/Bulk' numeric
@attribute 'Bwd Avg Bulk Rate' numeric
@attribute 'Subflow Fwd Packets' numeric
@attribute ' Subflow Fwd Bytes' numeric
@attribute ' Subflow Bwd Packets' numeric
@attribute ' Subflow Bwd Bytes' numeric
@attribute Init_Win_bytes_forward numeric
@attribute ' Init_Win_bytes_backward' numeric
@attribute ' act_data_pkt_fwd' numeric
@attribute ' min_seg_size_forward' numeric
@attribute 'Active Mean' numeric
@attribute ' Active Std' numeric
@attribute ' Active Max' numeric
@attribute ' Active Min' numeric
@attribute 'Idle Mean' numeric
@attribute ' Idle Std' numeric
@attribute ' Idle Max' numeric
@attribute ' Idle Min' numeric
@attribute ' Label' {BENIGN,DDoS}

@data
6,1962264,10,15,1387,14697,783,0,138.7,277.05156,1460,0,979.8,693.400544,8196.654477,12.740386,81761,245062.4669,1203410,19,1863830,207092.2222,434831.6661,1355470,242,1811175,129369.6429,315653.5534,1203410,48,0,0,0,0,212,312,5.096154,7.644231,0,1460,618.615385,694.687445,482590.6462,0,0,0,1,0,0,0,0,1,643.36,138.7,979.8,0,0,0,0,0,0,10,1387,15,14697,8192,128,9,20,0,0,0,0,0,0,0,0,BENIGN
6,4601017,1,5,6,30,6,6,6,0,6,6,6,0,7.824357,1.30406,920203.4,2038183.786,4566129,19,0,0,0,0,0,4567728,1141932,2282798.074,4566129,19,0,0,0,0,20,100,0.217343,1.086716,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0,0,0,0,0,0,0,0,BENIGN
17,220,2,2,102,134,51,51,51,0,67,67,67,0,1072727.273,18181.81818,73.333333,85.850645,169,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,9090.909091,9090.909091,51,67,57.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,71.75,51,67,0,0,0,0,0,0,2,102,2,134,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
6,72148388,6,9,11613,62,10135,0,1935.5,4058.890772,20,0,6.888889,5.301991,161.819277,0.207905,5153456.286,16100000,60200000,0,72100000,14400000,31700000,71100000,4,71100000,8887709.75,21100000,60200000,0,0,0,0,0,132,192,0.083162,0.124743,0,10135,730.0625,2534.071308,6421517.396,0,0,0,0,1,1,0,0,1,778.733333,1935.5,6.888889,0,0,0,0,0,0,6,11613,9,62,229,256,4,20,8487,0,8487,8487,35500000,34900000,60200000,10900000,BENIGN
6,1549518,35,40,2686,6718,408,0,76.742857,105.426959,976,0,167.95,324.011788,6068.984032,48.402148,20939.43243,113506.9717,955663,0,1549518,45574.05882,177557.3486,996238,1,593752,15224.41026,36766.79534,191523,1,0,0,0,0,724,824,22.587669,25.814479,0,976,123.736842,248.812238,61907.52982,0,0,0,1,0,0,0,0,1,125.386667,76.742857,167.95,0,0,0,0,0,0,35,2686,40,6718,8192,245,33,20,0,0,0,0,0,0,0,0,BENIGN
6,8914398,1,6,6,36,6,6,6,0,6,6,6,0,4.711479,0.785247,1485733,3632880.959,8901318,0,0,0,0,0,0,8906832,1781366.4,3980174.214,8901318,0,0,0,0,0,20,120,0.112178,0.673068,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857143,6,6,0,0,0,0,0,0,1,6,6,36,229,0,0,20,13080,0,13080,13080,8901318,0,8901318,8901318,BENIGN
6,6862043,1,5,1375,24,1375,1375,1375,0,6,0,4.8,2.683282,203.875143,0.874375,1372408.6,3048390.213,6825511,4,0,0,0,0,0,6847812,1711953,3409052.829,6825511,4,1,0,0,0,20,112,0.145729,0.728646,0,1375,396.285714,668.59273,447016.2381,0,1,0,0,1,1,0,0,5,462.333333,1375,4.8,0,0,0,0,0,0,1,1375,5,24,229,0,0,20,36532,0,36532,36532,6825511,0,6825511,6825511,BENIGN
17,71430,4,2,164,158,41,41,41,0,79,79,79,0,4507.909842,83.99832,14286,20884.07985,46131,3,46145,15381.66667,26629.70412,46131,3,47,47,0,47,47,0,0,0,0,80,64,55.99888,27.99944,41,79,51.857143,18.542101,343.809524,0,0,0,0,0,0,0,0,0,60.5,41,79,0,0,0,0,0,0,4,164,2,158,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
17,24091,2,2,64,188,32,32,32,0,94,94,94,0,10460.33789,166.037109,8030.333333,13902.88317,24084,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,64,83.018555,83.018555,32,94,56.8,33.958799,1153.2,0,0,0,0,0,0,0,0,1,71,32,94,0,0,0,0,0,0,2,64,2,188,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
6,142963,50,61,1337,110185,570,0,26.74,107.000631,2896,0,1806.311475,816.645528,780075.9637,776.424669,1299.663636,4983.149833,23187,1,142932,2916.979592,7305.905809,23882,1,119994,1999.9,6088.863599,24013,1,0,0,0,0,1272,1960,349.740842,426.683827,0,2896,995.732143,1076.3374,1158502.198,0,0,0,1,0,0,0,0,1,1004.702703,26.74,1806.311475,0,0,0,0,0,0,50,1337,61,110185,29200,61,32,20,0,0,0,0,0,0,0,0,BENIGN
